Browser,Operating System,Operating System Version,Device Category,Service Provider,Screen Resolution,Day of the month,Hour,ga:goal4Completions
Android Webview,Android,8.0.0,mobile,telefonica del sur s.a.,360x720,17,18,1
Chrome,Android,6.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,19,21,1
Chrome,Android,6.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,20,15,1
Chrome,Android,7.0,mobile,centennial cayman corp chile s.a,360x640,19,8,1
Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,13,1
Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,432x768,18,17,1
Chrome,Android,7.1.2001,mobile,ripe ncc,360x640,18,16,1
Chrome,Android,7.1.2001,tablet,vtr banda ancha s.a.,768x1024,20,13,1
Chrome,Android,8.0.0,mobile,telef nica chile s.a.,360x640,17,20,1
Chrome,Android,8.1.2000,mobile,telef nica chile s.a.,360x640,19,15,1
Chrome,iOS,12.0,mobile,manquehuenet,375x812,15,18,1
Chrome,iOS,12.0,mobile,vtr banda ancha s.a.,375x812,17,9,1
Chrome,Macintosh,Intel 10.13,desktop,centennial cayman corp chile s.a,1440x900,19,17,1
Chrome,Macintosh,Intel 10.13,desktop,centennial cayman corp chile s.a,1440x900,19,18,1
Chrome,Macintosh,Intel 10.13,desktop,centennial cayman corp chile s.a,1440x900,19,21,1
Chrome,Macintosh,Intel 10.13,desktop,vtr banda ancha s.a.,1440x900,21,10,1
Chrome,Windows,10,desktop,centennial cayman corp chile s.a,1536x864,18,23,1
Chrome,Windows,10,desktop,centennial cayman corp chile s.a,1920x1080,21,14,1
Chrome,Windows,10,desktop,cl-teemsr-lacnic,1920x1080,19,13,1
Chrome,Windows,10,desktop,entel chile s.a.,1366x768,18,12,1
Chrome,Windows,10,desktop,entel chile s.a.,1920x1080,16,12,1
Chrome,Windows,10,desktop,secico,1366x768,18,12,1
Chrome,Windows,10,desktop,sonda s.a.,1920x1080,18,12,1
Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,18,19,1
Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,19,11,1
Chrome,Windows,10,desktop,telefonica empresas,1366x768,15,9,1
Chrome,Windows,10,desktop,telefonica movil de chile s.a.,1536x864,20,16,1
Chrome,Windows,10,desktop,telefonica movil de chile s.a.,1920x1080,19,16,1
Chrome,Windows,10,desktop,telmex chile s.a hfc,1366x768,21,22,1
Chrome,Windows,10,desktop,telmex servicios empresariales s.a.,1366x768,17,17,1
Chrome,Windows,10,desktop,vtr banda ancha s.a.,1280x720,18,10,1
Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,15,19,1
Chrome,Windows,10,desktop,vtr banda ancha s.a.,1440x900,19,17,1
Chrome,Windows,7,desktop,adexus s.a.,1920x1080,16,15,1
Chrome,Windows,7,desktop,banco de credito e inversiones,1366x768,16,17,1
Chrome,Windows,7,desktop,c a. de seguros generales suramericana s.a.,1366x768,19,13,1
Chrome,Windows,7,desktop,gtd internet s.a.,1600x900,19,16,1
Chrome,Windows,7,desktop,ifx networks chile s.a,1280x1024,20,10,1
Chrome,Windows,7,desktop,imprenta figueroa sociedad ltda.,1366x768,16,15,1
Chrome,Windows,7,desktop,merkaz chile s.a.,1600x900,16,12,1
Chrome,Windows,7,desktop,municipalidad de ovalle,1366x768,18,18,1
Chrome,Windows,7,desktop,telef nica chile s.a.,1093x615,15,21,1
Chrome,Windows,7,desktop,telefonica movil de chile s.a.,1366x768,18,21,1
Chrome,Windows,7,desktop,televisi n nacional de chile,1920x1080,19,17,1
Chrome,Windows,7,desktop,vtr banda ancha s.a.,1360x768,17,17,1
Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,17,14,1
Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,18,21,1
Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,20,12,1
Chrome,Windows,7,desktop,vtr banda ancha s.a.,1536x864,20,20,1
Chrome,Windows,8,desktop,vtr banda ancha s.a.,1366x768,20,23,1
Chrome,Windows,8.1,desktop,claro chile s.a.,1366x768,19,14,1
Edge,Windows,10,desktop,vtr banda ancha s.a.,1366x768,15,17,1
Firefox,Macintosh,Intel 10.13,desktop,telef nica chile s.a.,1440x900,21,11,1
Firefox,Windows,10,desktop,telef nica chile s.a.,1366x768,16,14,1
Firefox,Windows,10,desktop,telef nica chile s.a.,1366x768,16,15,1
Firefox,Windows,7,desktop,telef nica chile s.a.,1093x614,15,12,1
Firefox,Windows,7,desktop,vtr banda ancha s.a.,1366x768,15,21,1
Safari,iOS,11.2.2005,mobile,telefonica movil de chile s.a.,320x568,18,19,1
Safari,iOS,11.4.2001,mobile,cmet saci,375x667,15,13,1
Safari,iOS,11.4.2001,mobile,manquehuenet,375x667,19,21,1
Safari,iOS,11.4.2001,mobile,manquehuenet,375x667,19,22,1
Safari,iOS,11.4.2001,mobile,telefonica movil de chile s.a.,320x568,18,10,1
Safari,iOS,11.4.2001,tablet,vtr banda ancha s.a.,768x1024,17,20,1
Safari,iOS,12.0,mobile,servicios adsl gtd internet,375x667,16,14,1
Safari,iOS,12.0.1,mobile,centennial cayman corp chile s.a,414x736,18,18,1
Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,375x667,19,20,1
Safari,iOS,12.0.1,mobile,telef nica chile s.a.,375x667,19,0,1
Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,375x812,21,16,1
Safari,Macintosh,Intel 10.13,desktop,vtr banda ancha s.a.,1280x800,16,23,1
Safari,Macintosh,Intel 10.13,desktop,vtr banda ancha s.a.,1366x768,21,9,1
Samsung Internet,Android,7.0,tablet,telefonica movil de chile s.a.,1280x800,19,17,1
Samsung Internet,Android,8.0.0,mobile,pacifico cable spa.,360x740,19,23,1
Samsung Internet,Android,8.0.0,mobile,vtr banda ancha s.a.,360x740,18,22,1
