Source / Medium,Browser,Operating System,Operating System Version,Device Category,Service Provider,Screen Resolution,Day of the month,Hour,Unique Events
(direct) / (none),Android Webview,Android,6.0.1,mobile,cablevisi n s.a. de c.v.,360x640,18,23,1
(direct) / (none),Chrome,Android,5.1,mobile,vtr banda ancha s.a.,360x640,21,0,1
(direct) / (none),Chrome,Android,6.0,mobile,telefonica movil de chile s.a.,360x640,17,17,1
(direct) / (none),Chrome,Android,6.0,mobile,telefonica movil de chile s.a.,360x640,17,21,1
(direct) / (none),Chrome,Android,6.0.1,mobile,vtr banda ancha s.a.,360x640,17,22,1
(direct) / (none),Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,17,22,1
(direct) / (none),Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,21,19,1
(direct) / (none),Chrome,Android,7.1.2001,mobile,centennial cayman corp chile s.a,360x640,20,6,1
(direct) / (none),Chrome,Android,8.0.0,mobile,telef nica chile s.a.,360x740,15,21,1
(direct) / (none),Chrome,Android,8.0.0,mobile,telmex servicios empresariales s.a.,360x640,15,21,1
(direct) / (none),Chrome,Android,8.1.2000,mobile,telefonica movil de chile s.a.,360x640,20,18,1
(direct) / (none),Chrome,iOS,12.0,mobile,entel pcs telecomunicaciones s.a.,375x812,15,12,1
(direct) / (none),Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,19,11,1
(direct) / (none),Chrome,Windows,10,desktop,telefonica empresas,1366x768,15,8,1
(direct) / (none),Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,17,17,1
(direct) / (none),Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,15,1
(direct) / (none),Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,20,1
(direct) / (none),Chrome,Windows,7,desktop,c a. de seguros generales suramericana s.a.,1600x900,18,17,1
(direct) / (none),Chrome,Windows,7,desktop,entel chile s.a.,1920x1080,20,16,1
(direct) / (none),Chrome,Windows,7,desktop,telef nica chile s.a.,1093x615,15,21,1
(direct) / (none),Chrome,Windows,7,desktop,telef nica chile s.a.,1093x615,16,18,1
(direct) / (none),Chrome,Windows,7,desktop,telef nica chile s.a.,1366x768,19,10,1
(direct) / (none),Chrome,Windows,7,desktop,telefonica empresas,1440x900,19,10,1
(direct) / (none),Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,17,12,1
(direct) / (none),Internet Explorer,Windows,10,tablet,cl-teemsr-lacnic,1347x842,19,13,1
(direct) / (none),Internet Explorer,Windows,7,mobile,c a. de seguros generales suramericana s.a.,1600x900,19,13,1
(direct) / (none),Safari,iOS,12.0,mobile,vtr banda ancha s.a.,320x568,16,13,1
(direct) / (none),Safari,iOS,12.0,mobile,vtr banda ancha s.a.,320x568,16,15,1
(direct) / (none),Safari,iOS,12.0,mobile,vtr banda ancha s.a.,320x568,17,9,1
(direct) / (none),Safari,iOS,12.0,mobile,vtr banda ancha s.a.,375x667,15,11,1
(direct) / (none),Safari,iOS,12.0.1,mobile,entel chile s.a.,414x736,20,20,1
(direct) / (none),Safari,iOS,12.0.1,mobile,telefonica movil de chile s.a.,375x667,21,11,1
(direct) / (none),Safari,Macintosh,Intel 10.12,desktop,entel pcs telecomunicaciones s.a.,1360x768,17,18,1
(direct) / (none),Safari,Macintosh,Intel 10.13,desktop,telmex servicios empresariales s.a.,1280x800,16,22,1
(direct) / (none),Samsung Internet,Android,5.1.2001,mobile,servicios adsl gtd internet,360x640,16,13,1
(direct) / (none),Samsung Internet,Android,8.0.0,mobile,telefonica del sur s.a.,360x740,18,14,1
(direct) / (none),Samsung Internet,Android,8.0.0,mobile,vtr banda ancha s.a.,360x740,18,11,1
(direct) / (none),Samsung Internet,Android,8.0.0,mobile,vtr banda ancha s.a.,360x740,19,21,1
bing / organic,Edge,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,21,1
cl.search.yahoo.com / referral,Firefox,Macintosh,Intel 10.11,desktop,banda ancha gtd manquehue,1280x800,16,11,1
emma / email,Android Browser,Android,4.2.2002,mobile,vtr banda ancha s.a.,480x800,18,19,1
emma / email,Chrome,Android,5.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,18,17,1
emma / email,Chrome,Android,5.0.1,mobile,vtr banda ancha s.a.,360x640,19,21,1
emma / email,Chrome,Android,5.0.2,mobile,netup s.a.,360x640,18,17,1
emma / email,Chrome,Android,5.1,mobile,vtr banda ancha s.a.,360x640,18,20,1
emma / email,Chrome,Android,5.1,mobile,vtr banda ancha s.a.,360x640,18,21,1
emma / email,Chrome,Android,5.1.2001,mobile,telef nica chile s.a.,320x534,18,18,1
emma / email,Chrome,Android,5.1.2001,mobile,telefonica del sur s.a.,360x640,19,9,1
emma / email,Chrome,Android,5.1.2001,mobile,telefonica movil de chile s.a.,360x640,18,18,1
emma / email,Chrome,Android,5.1.2001,mobile,telefonica movil de chile s.a.,360x640,19,17,1
emma / email,Chrome,Android,5.1.2001,mobile,vtr banda ancha s.a.,360x640,18,18,1
emma / email,Chrome,Android,5.1.2001,mobile,vtr banda ancha s.a.,854x480,18,21,1
emma / email,Chrome,Android,6.0,mobile,centennial cayman corp chile s.a,360x640,18,18,1
emma / email,Chrome,Android,6.0,mobile,centennial cayman corp chile s.a,360x640,18,21,1
emma / email,Chrome,Android,6.0,mobile,claro chile s.a.,360x640,18,18,1
emma / email,Chrome,Android,6.0,mobile,inetamericas comunicaciones limitada,360x640,19,11,1
emma / email,Chrome,Android,6.0,mobile,telmex servicios empresariales s.a.,360x640,18,22,1
emma / email,Chrome,Android,6.0.1,mobile,centennial cayman corp chile s.a,360x640,19,16,1
emma / email,Chrome,Android,6.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,19,21,1
emma / email,Chrome,Android,6.0.1,mobile,telef nica chile s.a.,360x640,18,18,1
emma / email,Chrome,Android,6.0.1,mobile,telef nica chile s.a.,360x640,18,20,1
emma / email,Chrome,Android,6.0.1,mobile,telefonica movil de chile s.a.,360x640,18,18,1
emma / email,Chrome,Android,6.0.1,tablet,vtr banda ancha s.a.,768x1024,21,14,1
emma / email,Chrome,Android,7.0,mobile,centennial cayman corp chile s.a,360x640,18,18,2
emma / email,Chrome,Android,7.0,mobile,centennial cayman corp chile s.a,360x640,19,8,1
emma / email,Chrome,Android,7.0,mobile,claro chile s.a.,360x640,18,18,2
emma / email,Chrome,Android,7.0,mobile,claro chile s.a.,360x640,19,15,1
emma / email,Chrome,Android,7.0,mobile,conect s.a,360x640,19,7,1
emma / email,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,17,2
emma / email,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,19,1
emma / email,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,19,13,1
emma / email,Chrome,Android,7.0,mobile,multikom s.a.,360x640,19,19,1
emma / email,Chrome,Android,7.0,mobile,pacifico cable spa.,360x640,21,5,1
emma / email,Chrome,Android,7.0,mobile,telecentro s.a.,360x640,18,21,1
emma / email,Chrome,Android,7.0,mobile,telef nica chile s.a.,360x640,18,19,1
emma / email,Chrome,Android,7.0,mobile,telef nica chile s.a.,360x640,18,21,1
emma / email,Chrome,Android,7.0,mobile,telef nica chile s.a.,360x640,18,22,1
emma / email,Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,20,14,1
emma / email,Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,424x753,19,10,1
emma / email,Chrome,Android,7.0,mobile,telmex servicios empresariales s.a.,360x640,18,17,1
emma / email,Chrome,Android,7.0,mobile,telmex servicios empresariales s.a.,360x640,18,18,1
emma / email,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,320x569,18,21,1
emma / email,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x640,18,18,1
emma / email,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x640,19,21,1
emma / email,Chrome,Android,7.1.2001,mobile,centennial cayman corp chile s.a,360x640,20,14,1
emma / email,Chrome,Android,7.1.2001,mobile,claro chile s.a.,360x640,18,21,1
emma / email,Chrome,Android,7.1.2001,mobile,entel pcs telecomunicaciones s.a.,360x640,19,5,1
emma / email,Chrome,Android,7.1.2001,mobile,gtd internet s.a.,360x640,18,19,1
emma / email,Chrome,Android,7.1.2001,mobile,telef nica chile s.a.,320x569,19,6,1
emma / email,Chrome,Android,7.1.2001,mobile,telmex servicios empresariales s.a.,360x668,19,13,1
emma / email,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,360x640,18,18,1
emma / email,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,360x640,21,21,1
emma / email,Chrome,Android,8.0.0,mobile,claro chile s.a.,320x676,18,18,1
emma / email,Chrome,Android,8.0.0,mobile,claro chile s.a.,360x720,18,18,1
emma / email,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,18,1
emma / email,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x640,19,9,1
emma / email,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x740,18,22,1
emma / email,Chrome,Android,8.0.0,mobile,mobile broadband service,412x846,19,3,1
emma / email,Chrome,Android,8.0.0,mobile,multikom s.a.,360x720,20,8,1
emma / email,Chrome,Android,8.0.0,mobile,pacifico cable spa.,360x720,18,18,1
emma / email,Chrome,Android,8.0.0,mobile,telef nica chile s.a.,360x740,18,22,1
emma / email,Chrome,Android,8.0.0,mobile,telef nica chile s.a.,360x740,18,23,1
emma / email,Chrome,Android,8.0.0,mobile,telef nica chile s.a.,360x760,18,21,1
emma / email,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x640,18,17,1
emma / email,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x640,18,19,1
emma / email,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x640,19,11,1
emma / email,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x720,18,18,1
emma / email,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x720,20,9,1
emma / email,Chrome,Android,8.0.0,mobile,telmex chile s.a hfc,360x720,18,18,2
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,320x640,18,21,1
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x640,18,21,1
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x640,19,7,1
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x640,19,9,1
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x740,18,19,1
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x760,18,20,1
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,412x846,18,20,1
emma / email,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,412x846,19,6,1
emma / email,Chrome,Android,8.1.2000,mobile,telefonica movil de chile s.a.,360x640,18,18,1
